Category,Month,"Sub Category",Type,Year,Doughnut,"Doughnut (copy)","Number of Records",Value,"Value (copy)"
"Total Current Assets",Dec,"Accounts Receivable - Net",Assets,2014,0,0,$1,$10.5M,"$10,493,582"
"Total Current Assets",Dec,Cash,Assets,2014,0,0,$1,$1.1M,"$1,136,646"
"Total Current Assets",Dec,"Deferred Income Tax",Assets,2014,0,0,$1,$0.0M,"-$40,268"
"Total Current Assets",Dec,"Prepaid Expenses",Assets,2014,0,0,$1,$0.8M,"$774,185"
"Total Current Assets",Dec,"Prepaid Income Tax",Assets,2014,0,0,$1,$0.0M,$0
"Total Fixed Assets",Dec,"Accumulated Depreciation",Assets,2014,0,0,$1,($4.4M),"-$4,435,606"
"Total Fixed Assets",Dec,"Building and Leasehold Improvements",Assets,2014,0,0,$1,$0.2M,"$235,541"
"Total Fixed Assets",Dec,"Computer Equipment",Assets,2014,0,0,$1,$4.1M,"$4,121,413"
"Total Fixed Assets",Dec,"Office Furniture and Equipment",Assets,2014,0,0,$1,$0.5M,"$515,912"
"Total Fixed Assets",Dec,Projects,Assets,2014,0,0,$1,$0.1M,"$129,013"
"Total Fixed Assets",Dec,"Transportation Equipment",Assets,2014,0,0,$1,$0.0M,"$4,814"
"Total Fixed Assets",Dec,"Warehouse Equipment",Assets,2014,0,0,$1,$0.3M,"$327,786"
"Total Fixed Assets",Dec,ZMS,Assets,2014,0,0,$1,$0.1M,"$72,351"
"Total Long Term Assets",Dec,Deposits,Assets,2014,0,0,$1,$0.3M,"$274,658"
"Total Long Term Assets",Dec,"Long Term Other Assets",Assets,2014,0,0,$1,$1.2M,"$1,242,622"
"Accumulated other comprehensive income",Dec,"Accumulated other comprehensive income",Equity,2014,0,0,$1,$0.0M,"$29,461"
"Additional Paid in Capital",Dec,"Additional Paid in Capital",Equity,2014,0,0,$1,$1.1M,"$1,124,209"
"Common Stock",Dec,"Common Stock",Equity,2014,0,0,$1,$0.0M,"$8,791"
"Income Summary",Dec,"Income Summary",Equity,2014,0,0,$1,($0.4M),"-$427,018"
"Retained Earnings",Dec,"Retained Earnings",Equity,2014,0,0,$1,($0.7M),"-$715,718"
"Total Current Liabilities",Dec,"Accounts Payable Trade",Liabilities,2014,0,0,$1,$4.0M,"$4,049,599"
"Total Current Liabilities",Dec,"Accrued Claims Payable",Liabilities,2014,0,0,$1,$0.0M,"$6,930"
"Total Current Liabilities",Dec,"Accrued COGS Payable",Liabilities,2014,0,0,$1,$3.9M,"$3,862,319"
"Total Current Liabilities",Dec,"Customer Deposits",Liabilities,2014,0,0,$1,$0.9M,"$864,221"
"Total Current Liabilities",Dec,"Line of Credit",Liabilities,2014,0,0,$1,$4.2M,"$4,161,347"
"Total Current Liabilities",Dec,"Other Accrued Payables",Liabilities,2014,0,0,$1,$1.4M,"$1,435,517"
"Total Current Liabilities",Dec,"Salaries and Wages Tax Payable",Liabilities,2014,0,0,$1,$0.3M,"$252,993"
"Total Current Liabilities",Dec,"Short Term Notes Other",Liabilities,2014,0,0,$1,$0.2M,"$200,000"
"Total Current Assets",Apr,"Accounts Receivable - Net",Assets,2015,0,0,$1,$13.4M,"$13,418,546"
"Total Current Assets",Apr,Cash,Assets,2015,0,0,$1,$2.5M,"$2,469,229"
"Total Current Assets",Apr,"Deferred Income Tax",Assets,2015,0,0,$1,$0.0M,"-$40,268"
"Total Current Assets",Apr,"Prepaid Expenses",Assets,2015,0,0,$1,$0.6M,"$577,319"
"Total Current Assets",Apr,"Prepaid Income Tax",Assets,2015,0,0,$1,$0.0M,$850
"Total Current Assets",Aug,"Accounts Receivable - Net",Assets,2015,0,0,$1,$16.0M,"$15,994,049"
"Total Current Assets",Aug,Cash,Assets,2015,0,0,$1,$2.5M,"$2,470,864"
"Total Current Assets",Aug,"Deferred Income Tax",Assets,2015,0,0,$1,$0.0M,"-$40,268"
"Total Current Assets",Aug,"Prepaid Expenses",Assets,2015,0,0,$1,$0.8M,"$766,920"
"Total Current Assets",Aug,"Prepaid Income Tax",Assets,2015,0,0,$1,$0.0M,$850
"Total Current Assets",Dec,"Accounts Receivable - Net",Assets,2015,0,0,$1,$15.1M,"$15,078,008"
"Total Current Assets",Dec,Cash,Assets,2015,0,0,$1,$1.0M,"$970,109"
"Total Current Assets",Dec,"Deferred Income Tax",Assets,2015,0,0,$1,$0.0M,"-$40,268"
"Total Current Assets",Dec,"Prepaid Expenses",Assets,2015,0,0,$1,$0.8M,"$825,887"
"Total Current Assets",Dec,"Prepaid Income Tax",Assets,2015,0,0,$1,$0.0M,$850
"Total Current Assets",Feb,"Accounts Receivable - Net",Assets,2015,0,0,$1,$10.6M,"$10,555,751"
"Total Current Assets",Feb,Cash,Assets,2015,0,0,$1,$0.4M,"$447,715"
"Total Current Assets",Feb,"Deferred Income Tax",Assets,2015,0,0,$1,$0.0M,"-$40,268"
"Total Current Assets",Feb,"Prepaid Expenses",Assets,2015,0,0,$1,$0.7M,"$696,240"
"Total Current Assets",Feb,"Prepaid Income Tax",Assets,2015,0,0,$1,$0.0M,$0
"Total Current Assets",Jan,"Accounts Receivable - Net",Assets,2015,0,0,$1,$9.9M,"$9,935,853"
"Total Current Assets",Jan,Cash,Assets,2015,0,0,$1,$1.1M,"$1,057,337"
"Total Current Assets",Jan,"Deferred Income Tax",Assets,2015,0,0,$1,$0.0M,"-$40,268"
"Total Current Assets",Jan,"Prepaid Expenses",Assets,2015,0,0,$1,$0.7M,"$735,603"
"Total Current Assets",Jan,"Prepaid Income Tax",Assets,2015,0,0,$1,$0.0M,$0
"Total Current Assets",Jul,"Accounts Receivable - Net",Assets,2015,0,0,$1,$12.4M,"$12,448,843"
"Total Current Assets",Jul,Cash,Assets,2015,0,0,$1,$3.1M,"$3,063,446"
"Total Current Assets",Jul,"Deferred Income Tax",Assets,2015,0,0,$1,$0.0M,"-$40,268"
"Total Current Assets",Jul,"Prepaid Expenses",Assets,2015,0,0,$1,$0.8M,"$812,252"
"Total Current Assets",Jul,"Prepaid Income Tax",Assets,2015,0,0,$1,$0.0M,$850
