Client,Total,"2015 Dec","2015 Nov","2016 Jan",Cal_Total,"Number of Records",TotalNew
"Client 27",90.78%,$0,$0,$3,$3,1,98%
"Client 7",78.70%,$1,$1,$1,$2,1,79%
"Client 22",58.14%,$1,$1,$0,$2,1,58%
Others,-0.79%,$0,$0,$0,$0,1,-2%
Others,-0.85%,$0,$0,$0,$0,1,-2%
Others,-5.90%,$0,$0,$0,$0,1,-4%
Others,-516.65%,-$16,$0,$1,-$15,1,-689%
Others,13.02%,$0,$0,$0,$0,1,14%
Others,13.49%,$0,$0,$0,$0,1,14%
Others,13.80%,$0,$0,$0,$0,1,24%
Others,13.98%,$0,$0,$0,$0,1,15%
Others,14.94%,$0,$0,$0,$0,1,6%
Others,17.23%,$0,$0,$0,$1,1,17%
Others,18.24%,$0,$0,$0,$1,1,18%
Others,18.58%,$0,$0,$0,$1,1,19%
Others,18.58%,$0,$0,$0,$1,1,11%
Others,18.72%,$0,$0,$0,$1,1,25%
Others,18.96%,$0,$0,$0,$1,1,18%
Others,19.30%,$0,$0,$0,$1,1,22%
Others,19.68%,$0,$0,$0,$1,1,19%
Others,21.56%,$0,$0,$0,$1,1,29%
Others,22.04%,$0,$0,$0,$1,1,21%
Others,22.72%,$0,$0,$0,$1,1,23%
Others,22.95%,$0,$0,$0,$1,1,31%
Others,23.22%,0.28,0.24,$0,$1,1,23%
Others,23.38%,0.35,0.23,$0,$1,1,23%
Others,24.30%,0.24,0.25,$0,$1,1,24%
Others,25.07%,0.23,0.24,$0,$1,1,26%
Others,25.40%,0.21,0.25,$0,$1,1,25%
Others,27.87%,0.28,0.33,$0,$1,1,26%
Others,28.10%,0.35,0.28,$0,1,1,28%
Others,30.93%,0.38,0.40,$0,1,1,28%
Others,31.04%,0.25,0.27,$0,1,1,32%
Others,31.11%,0.32,0.31,$0,1,1,31%
Others,31.58%,0.83,0.00,$0,1,1,42%
Others,31.65%,0.00,-0.05,$1,0.94936039,1,44%
Others,33.59%,0.29,0.43,$0,1,1,30%
Others,33.61%,0.42,0.26,$0,1,1,36%
Others,34.79%,0.13,0.07,$1,1,1,44%
Others,34.97%,0.39,0.39,$0,1,1,34%
Others,35.23%,0.56,0.25,$0,1,1,39%
Others,35.48%,0.38,0.36,$0,1.064325179,1,35%
Others,37.09%,0.34,0.43,$0,1,1,35%
Others,40.02%,0.37,0.40,$0,1,1,40%
Others,45.81%,0.46,0.39,$1,1,1,48%
Others,52.52%,0.31,0.67,$1,2,1,48%
Others,7.24%,0.03,0.08,$0,0,1,7%
Others,9.95%,0.08,0.12,$0,0,1,9%
"Client 47",100.00%,1.00,1.00,$1,3,1,100%
"Client 36",58.47%,0.48,0.54,$1,2,1,58%
