Client,"2015 Dec","2015 Nov","2016 Jan",Cal_Total,Doughnut,"Doughnut (copy)","Number of Records",Total
"Client 16","3,46,868.5645684","2,65,824.4064249","2,80,922.9169298","$893,616",0,0,$1,
"Client 36","85,615.69","$79,376","$64,505","$229,496",0,0,$1,
"Client 42","1,99,723.6886639","1,64,349.2289933","1,80,779.1596187","$544,852",0,0,$1,
"Client 22","3,87,412.1701229","-$6,541","1,30,412.6568305","$511,284",0,0,$1,
"Client 48","3,51,845.1065852","3,31,949.4574699","3,32,945.9171448","$1,016,740",0,0,$1,
Others,"-3,804.71","-$2,097","$2,947","-$2,955",0,0,$1,
Others,"6,740.53","-$1,384","$21,679","$27,036",0,0,$1,
Others,0.00,-$772,"$30,500","$29,728",0,0,$1,
Others,"20,118.46",-$73,"$2,613","$22,659",0,0,$1,
Others,"-12,312.96",$0,"$11,369",-$944,0,0,$1,
Others,"13,779.06",$0,"$6,918","$20,698",0,0,$1,
Others,"10,793.86",$5,"$19,488","$30,287",0,0,$1,
Others,"21,122.79",$34,"$8,686","$29,843",0,0,$1,
Others,-980.27,$434,$600,$54,0,0,$1,
Others,276.07,$658,"$1,862","$2,797",0,0,$1,
Others,"4,107.20","$1,088","$36,459","$41,654",0,0,$1,
Others,"-3,633.64","$1,909",-$690,"-$2,415",0,0,$1,
Others,"6,451.98","$2,069","$7,810","$16,331",0,0,$1,
Others,"4,127.24","$3,069","$8,860","$16,056",0,0,$1,
Others,"5,344","$3,266","$10,913","$19,523",0,0,$1,
Others,"12,750.19","$3,339","$16,201","$32,291",0,0,$1,
Others,"6,269.83","$3,718","$16,368","$26,356",0,0,$1,
Others,"3,293.24","$4,637","$5,839","$13,769",0,0,$1,
Others,"1,483.88","$4,793","$10,266","$16,543",0,0,$1,
Others,"-19,022.51","4,993.16","47,542.84","$33,513",0,0,$1,
Others,"4,803.89","5,159.04","1,496.02","$11,459",0,0,$1,
Others,"4,781.09","5,936.03","6,735.23","$17,452",0,0,$1,
Others,"31,803.07","6,877.39","61,669.52","$100,350",0,0,$1,
Others,-524.90,"8,432.03","4,101.31","$12,008",0,0,$1,
Others,"5,098.48","9,101.85","4,532.37","$18,733",0,0,$1,
Others,"10,442.53","9,197.76","8,711.90","$28,352",0,0,$1,
Others,"14,352.81","9,387.33","10,050.35","$33,790",0,0,$1,
Others,"14,146.86","13,656.58","18,418.69","$46,222",0,0,$1,
Others,"10,549.37","14,051.60","15,359.25","$39,960",0,0,$1,
Others,"3,273.29","14,636.45","6,987.06","$24,897",0,0,$1,
Others,"14,453.40","15,114.95","13,270.95","$42,839",0,0,$1,
Others,"26,094.47","18,230.03","5,143.63","$49,468",0,0,$1,
Others,"7,892.50","19,673.23","18,709.46","$46,275",0,0,$1,
Others,"11,056.05","24,717.15","12,610.96","$48,384",0,0,$1,
Others,"74,284.68","30,242.61","35,925.50","$140,453",0,0,$1,
Others,"10,473.00","32,627.45","15,981.38","$59,082",0,0,$1,
Others,"35,696.10","32,920.80","36,908.30","$105,525",0,0,$1,
Others,-636.4089782,"37,617.82","3,044.73","$40,026",0,0,$1,
Others,"54,706.13","38,277.08","34,548.33","$127,532",0,0,$1,
Others,"68,454","40,295.14","22,657.48","$131,407",0,0,$1,
Others,"63,885.17","43,730.40","32,926.31","$140,542",0,0,$1,
Others,"45,237.65","47,463.58","47,060.25","$139,761",0,0,$1,
Others,"41,124.32","66,412.26","98,587.52","$206,124",0,0,$1,
Others,"-13,730.79","70,044.47","45,832.11","$102,146",0,0,$1,
Others,"28,741.92","93,689.46","4,013.65","$126,445",0,0,$1,
