Country,Smileys,Type,Icon,"Number of Records",Value
Canada,Moderate,EBITDA,$0,$1,"$12,907"
Canada,Good,"Gross Profit",$0,$1,"$36,702"
Canada,Moderate,"Income Before Taxes",$0,$1,"$16,963"
Canada,Moderate,"Net Income",$0,$1,"$16,963"
Canada,Moderate,"Operating Income",$0,$1,"$12,607"
Canada,Good,"Total Revenue",$0,$1,"$95,901"
"Costa Rica",Good,EBITDA,$0,$1,"$67,631"
"Costa Rica",Good,"Gross Profit",$0,$1,"$151,295"
"Costa Rica",Good,"Income Before Taxes",$0,$1,"$62,025"
"Costa Rica",Good,"Net Income",$0,$1,"$62,025"
"Costa Rica",Good,"Operating Income",$0,$1,"$67,365"
"Costa Rica",Good,"Total Revenue",$0,$1,"$450,628"
Hungary,Moderate,EBITDA,$0,$1,"$20,199"
Hungary,Good,"Gross Profit",$0,$1,"$47,320"
Hungary,Critical,"Income Before Taxes",$0,$1,"-$58,198"
Hungary,Critical,"Net Income",$0,$1,"-$61,465"
Hungary,Moderate,"Operating Income",$0,$1,"$18,176"
Hungary,Good,"Total Revenue",$0,$1,"$307,586"
Malaysia,Good,EBITDA,$0,$1,"$61,008"
Malaysia,Good,"Gross Profit",$0,$1,"$73,442"
Malaysia,Good,"Income Before Taxes",$0,$1,"$118,408"
Malaysia,Good,"Net Income",$0,$1,"$112,160"
Malaysia,Good,"Operating Income",$0,$1,"$61,008"
Malaysia,Good,"Total Revenue",$0,$1,"$202,590"
"United States",Critical,EBITDA,$0,$1,$473
"United States",Good,"Gross Profit",$0,$1,"$1,501,926"
"United States",Critical,"Income Before Taxes",$0,$1,"-$51,626"
"United States",Critical,"Net Income",$0,$1,"-$96,700"
"United States",Critical,"Operating Income",$0,$1,"-$29,982"
"United States",Good,"Total Revenue",$0,$1,"$5,052,918"
