Category,Month,Quarter,"Sub Category",Type,Year,Actual,Actual_[0],"Actual (copy)",Back,Budget,Budget_[0],"Budget (copy)","Cal_GP Actual","Cal_GP Budget","Cal_Rev Actual","Cal_Rev Budget","Number of Records"
"Claims COGS",Feb,Quarter1,,"Cost of Sales",2016,"7,500","$7,500","$7,500",$0,"9,500","$9,500","$9,500",,,,,1
Fulfillment,Feb,Quarter1,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"PDG Diesel",Feb,Quarter1,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Transportation - Domestic",Feb,Quarter1,,"Cost of Sales",2016,"18,46,123","$1,846,123","$1,846,123",$0,"26,00,575","$2,600,575","$2,600,575",,,,,1
"Transportation - International",Feb,Quarter1,,"Cost of Sales",2016,"13,57,588","$1,357,588","$1,357,588",$0,"10,54,425","$1,054,425","$1,054,425",,,,,1
Warehouse,Feb,Quarter1,,"Cost of Sales",2016,"1,66,920","$166,920","$166,920",$0,"1,70,500","$170,500","$170,500",,,,,1
"Warehouse Allocation",Feb,Quarter1,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Claims COGS",Jan,Quarter1,,"Cost of Sales",2016,"4,011","$4,011","$4,011",$0,"9,500","$9,500","$9,500",,,,,1
Fulfillment,Jan,Quarter1,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"PDG Diesel",Jan,Quarter1,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Transportation - Domestic",Jan,Quarter1,,"Cost of Sales",2016,"17,92,866","$1,792,866","$1,792,866",$0,"23,67,125","$2,367,125","$2,367,125",,,,,1
"Transportation - International",Jan,Quarter1,,"Cost of Sales",2016,"14,50,599","$1,450,599","$1,450,599",$0,"9,09,700","$909,700","$909,700",,,,,1
Warehouse,Jan,Quarter1,,"Cost of Sales",2016,"1,71,330","$171,330","$171,330",$0,"1,70,500","$170,500","$170,500",,,,,1
"Warehouse Allocation",Jan,Quarter1,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Claims COGS",Mar,Quarter1,,"Cost of Sales",2016,"8,061","$8,061","$8,061",$0,"9,500","$9,500","$9,500",,,,,1
Fulfillment,Mar,Quarter1,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"PDG Diesel",Mar,Quarter1,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Transportation - Domestic",Mar,Quarter1,,"Cost of Sales",2016,"23,46,302","$2,346,302","$2,346,302",$0,"30,94,450","$3,094,450","$3,094,450",,,,,1
"Transportation - International",Mar,Quarter1,,"Cost of Sales",2016,"16,64,563","$1,664,563","$1,664,563",$0,"11,37,125","$1,137,125","$1,137,125",,,,,1
Warehouse,Mar,Quarter1,,"Cost of Sales",2016,"2,46,010","$246,010","$246,010",$0,"1,70,500","$170,500","$170,500",,,,,1
"Warehouse Allocation",Mar,Quarter1,,"Cost of Sales",2016,0,$0,$0,$0,0,$0,$0,,,,,1
EBITDA,Feb,Quarter1,,EBITDA,2016,"1,11,152","$111,152","$111,152",$0,"92,190","$92,190","$92,190",,,,,1
EBITDA,Jan,Quarter1,,EBITDA,2016,"-39,204","-$39,204","-$39,204",$0,"-17,948","-$17,948","-$17,948",,,,,1
EBITDA,Mar,Quarter1,,EBITDA,2016,"2,79,822","$279,822","$279,822",$0,"3,07,582","$307,582","$307,582",,,,,1
"Gross Profit",Feb,Quarter1,,"Gross Profit",2016,"12,77,898","$1,277,898","$1,277,898",$0,"13,37,000","$1,337,000","$1,337,000","12,77,898","13,37,000",,,1
"Gross Profit",Jan,Quarter1,,"Gross Profit",2016,"12,14,976","$1,214,976","$1,214,976",$0,"13,37,000","$1,337,000","$1,337,000","12,14,976","13,37,000",,,1
"Gross Profit",Mar,Quarter1,,"Gross Profit",2016,"14,80,473","$1,480,473","$1,480,473",$0,"15,55,425","$1,555,425","$1,555,425","14,80,473","15,55,425",,,1
"Net Income",Feb,Quarter1,,"Net Income",2016,"-11,692","-$11,692","-$11,692",$0,"10,600","$10,600","$10,600",,,,,1
"Net Income",Jan,Quarter1,,"Net Income",2016,"35,533","$35,533","$35,533",$0,"-65,391","-$65,391","-$65,391",,,,,1
"Net Income",Mar,Quarter1,,"Net Income",2016,"1,54,504","$154,504","$154,504",$0,"1,62,659","$162,659","$162,659",,,,,1
"Total Depreciation",Feb,Quarter1,"Total Depreciation","Operating Expenses",2016,"22,823","$22,823","$22,823",$0,"24,630","$24,630","$24,630",,,,,1
"Total General & Administration",Feb,Quarter1,"Advertising & Promotion","Operating Expenses",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Total General & Administration",Feb,Quarter1,"Bad Debt","Operating Expenses",2016,"3,557","$3,557","$3,557",$0,0,$0,$0,,,,,1
"Total General & Administration",Feb,Quarter1,"Charitable Contributions","Operating Expenses",2016,158,$158,$158,$0,0,$0,$0,,,,,1
"Total General & Administration",Feb,Quarter1,Communication,"Operating Expenses",2016,"42,790","$42,790","$42,790",$0,"35,000","$35,000","$35,000",,,,,1
"Total General & Administration",Feb,Quarter1,"Dues, Licenses, & Fees","Operating Expenses",2016,"25,911","$25,911","$25,911",$0,"29,500","$29,500","$29,500",,,,,1
"Total General & Administration",Feb,Quarter1,"Equipment Rental","Operating Expenses",2016,"1,599","$1,599","$1,599",$0,"3,000","$3,000","$3,000",,,,,1
"Total General & Administration",Feb,Quarter1,"Gains and Losses","Operating Expenses",2016,"-30,842","-$30,842","-$30,842",$0,0,$0,$0,,,,,1
"Total General & Administration",Feb,Quarter1,Insurance,"Operating Expenses",2016,"17,244","$17,244","$17,244",$0,"17,500","$17,500","$17,500",,,,,1
"Total General & Administration",Feb,Quarter1,"Leased Equipment","Operating Expenses",2016,"7,612","$7,612","$7,612",$0,"8,850","$8,850","$8,850",,,,,1
"Total General & Administration",Feb,Quarter1,"Legal Settlement","Operating Expenses",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Total General & Administration",Feb,Quarter1,"Office Expenses/Supplies","Operating Expenses",2016,"19,941","$19,941","$19,941",$0,"18,000","$18,000","$18,000",,,,,1
"Total General & Administration",Feb,Quarter1,"Outside Services","Operating Expenses",2016,"37,963","$37,963","$37,963",$0,"45,000","$45,000","$45,000",,,,,1
"Total General & Administration",Feb,Quarter1,"Repairs & Maintenance Equipment","Operating Expenses",2016,"1,299","$1,299","$1,299",$0,"1,250","$1,250","$1,250",,,,,1
"Total General & Administration",Feb,Quarter1,"Software Support","Operating Expenses",2016,"45,133","$45,133","$45,133",$0,"29,000","$29,000","$29,000",,,,,1
"Total General & Administration",Feb,Quarter1,"Training and Development","Operating Expenses",2016,"3,504","$3,504","$3,504",$0,0,$0,$0,,,,,1
"Total Labor",Feb,Quarter1,Bonus,"Operating Expenses",2016,"30,300","$30,300","$30,300",$0,"15,000","$15,000","$15,000",,,,,1
"Total Labor",Feb,Quarter1,Commissions,"Operating Expenses",2016,"42,178","$42,178","$42,178",$0,"56,892","$56,892","$56,892",,,,,1
"Total Labor",Feb,Quarter1,"Contract & Temporary Labor","Operating Expenses",2016,"27,532","$27,532","$27,532",$0,"40,000","$40,000","$40,000",,,,,1
"Total Labor",Feb,Quarter1,"Employee Benefits","Operating Expenses",2016,"62,468","$62,468","$62,468",$0,"1,15,000","$115,000","$115,000",,,,,1
"Total Labor",Feb,Quarter1,"Payroll Tax","Operating Expenses",2016,"75,353","$75,353","$75,353",$0,"79,136","$79,136","$79,136",,,,,1
"Total Labor",Feb,Quarter1,"Salaries & Wages","Operating Expenses",2016,"6,19,679","$619,679","$619,679",$0,"6,43,983","$643,983","$643,983",,,,,1
"Total Occupancy Cost",Feb,Quarter1,"Building Operating Costs","Operating Expenses",2016,"23,201","$23,201","$23,201",$0,"25,699","$25,699","$25,699",,,,,1
"Total Occupancy Cost",Feb,Quarter1,"Rent/Fixed Building Costs","Operating Expenses",2016,"46,921","$46,921","$46,921",$0,"28,000","$28,000","$28,000",,,,,1
"Total Travel/M&E",Feb,Quarter1,"Meals & Entertainment","Operating Expenses",2016,"24,285","$24,285","$24,285",$0,"16,000","$16,000","$16,000",,,,,1
"Total Travel/M&E",Feb,Quarter1,Travel,"Operating Expenses",2016,"38,958","$38,958","$38,958",$0,"38,000","$38,000","$38,000",,,,,1
"Total Depreciation",Jan,Quarter1,"Total Depreciation","Operating Expenses",2016,"24,509","$24,509","$24,509",$0,"24,630","$24,630","$24,630",,,,,1
"Total General & Administration",Jan,Quarter1,"Advertising & Promotion","Operating Expenses",2016,-58,-$58,-$58,$0,0,$0,$0,,,,,1
"Total General & Administration",Jan,Quarter1,"Bad Debt","Operating Expenses",2016,"1,034","$1,034","$1,034",$0,0,$0,$0,,,,,1
"Total General & Administration",Jan,Quarter1,"Charitable Contributions","Operating Expenses",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Total General & Administration",Jan,Quarter1,Communication,"Operating Expenses",2016,"30,350","$30,350","$30,350",$0,"35,000","$35,000","$35,000",,,,,1
"Total General & Administration",Jan,Quarter1,"Dues, Licenses, & Fees","Operating Expenses",2016,"25,707","$25,707","$25,707",$0,"29,500","$29,500","$29,500",,,,,1
"Total General & Administration",Jan,Quarter1,"Equipment Rental","Operating Expenses",2016,"2,188","$2,188","$2,188",$0,"3,000","$3,000","$3,000",,,,,1
"Total General & Administration",Jan,Quarter1,"Gains and Losses","Operating Expenses",2016,"71,440","$71,440","$71,440",$0,0,$0,$0,,,,,1
"Total General & Administration",Jan,Quarter1,Insurance,"Operating Expenses",2016,"17,155","$17,155","$17,155",$0,"17,500","$17,500","$17,500",,,,,1
"Total General & Administration",Jan,Quarter1,"Leased Equipment","Operating Expenses",2016,"7,978","$7,978","$7,978",$0,"8,850","$8,850","$8,850",,,,,1
"Total General & Administration",Jan,Quarter1,"Legal Settlement","Operating Expenses",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Total General & Administration",Jan,Quarter1,"Office Expenses/Supplies","Operating Expenses",2016,"20,989","$20,989","$20,989",$0,"18,000","$18,000","$18,000",,,,,1
"Total General & Administration",Jan,Quarter1,"Outside Services","Operating Expenses",2016,"60,401","$60,401","$60,401",$0,"45,000","$45,000","$45,000",,,,,1
"Total General & Administration",Jan,Quarter1,"Repairs & Maintenance Equipment","Operating Expenses",2016,"3,351","$3,351","$3,351",$0,"1,250","$1,250","$1,250",,,,,1
"Total General & Administration",Jan,Quarter1,"Software Support","Operating Expenses",2016,"30,590","$30,590","$30,590",$0,"29,000","$29,000","$29,000",,,,,1
"Total General & Administration",Jan,Quarter1,"Training and Development","Operating Expenses",2016,"1,640","$1,640","$1,640",$0,0,$0,$0,,,,,1
"Total Labor",Jan,Quarter1,Bonus,"Operating Expenses",2016,"4,100","$4,100","$4,100",$0,"15,000","$15,000","$15,000",,,,,1
"Total Labor",Jan,Quarter1,Commissions,"Operating Expenses",2016,"52,573","$52,573","$52,573",$0,"51,425","$51,425","$51,425",,,,,1
"Total Labor",Jan,Quarter1,"Contract & Temporary Labor","Operating Expenses",2016,"36,265","$36,265","$36,265",$0,"40,000","$40,000","$40,000",,,,,1
"Total Labor",Jan,Quarter1,"Employee Benefits","Operating Expenses",2016,"89,904","$89,904","$89,904",$0,"1,15,000","$115,000","$115,000",,,,,1
"Total Labor",Jan,Quarter1,"Payroll Tax","Operating Expenses",2016,"93,116","$93,116","$93,116",$0,"93,666","$93,666","$93,666",,,,,1
"Total Labor",Jan,Quarter1,"Salaries & Wages","Operating Expenses",2016,"6,23,971","$623,971","$623,971",$0,"6,30,233","$630,233","$630,233",,,,,1
"Total Occupancy Cost",Jan,Quarter1,"Building Operating Costs","Operating Expenses",2016,"15,856","$15,856","$15,856",$0,"25,699","$25,699","$25,699",,,,,1
"Total Occupancy Cost",Jan,Quarter1,"Rent/Fixed Building Costs","Operating Expenses",2016,"24,975","$24,975","$24,975",$0,"28,000","$28,000","$28,000",,,,,1
"Total Travel/M&E",Jan,Quarter1,"Meals & Entertainment","Operating Expenses",2016,"16,714","$16,714","$16,714",$0,"15,000","$15,000","$15,000",,,,,1
"Total Travel/M&E",Jan,Quarter1,Travel,"Operating Expenses",2016,"23,939","$23,939","$23,939",$0,"35,000","$35,000","$35,000",,,,,1
"Total Depreciation",Mar,Quarter1,"Total Depreciation","Operating Expenses",2016,"22,812","$22,812","$22,812",$0,"24,630","$24,630","$24,630",,,,,1
"Total General & Administration",Mar,Quarter1,"Advertising & Promotion","Operating Expenses",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Total General & Administration",Mar,Quarter1,"Bad Debt","Operating Expenses",2016,"-1,285","-$1,285","-$1,285",$0,0,$0,$0,,,,,1
"Total General & Administration",Mar,Quarter1,"Charitable Contributions","Operating Expenses",2016,-826,-$826,-$826,$0,0,$0,$0,,,,,1
"Total General & Administration",Mar,Quarter1,Communication,"Operating Expenses",2016,"36,930","$36,930","$36,930",$0,"35,000","$35,000","$35,000",,,,,1
"Total General & Administration",Mar,Quarter1,"Dues, Licenses, & Fees","Operating Expenses",2016,"25,397","$25,397","$25,397",$0,"29,500","$29,500","$29,500",,,,,1
"Total General & Administration",Mar,Quarter1,"Equipment Rental","Operating Expenses",2016,794,$794,$794,$0,"3,000","$3,000","$3,000",,,,,1
"Total General & Administration",Mar,Quarter1,"Gains and Losses","Operating Expenses",2016,"-9,931","-$9,931","-$9,931",$0,0,$0,$0,,,,,1
"Total General & Administration",Mar,Quarter1,Insurance,"Operating Expenses",2016,"17,192","$17,192","$17,192",$0,"17,500","$17,500","$17,500",,,,,1
"Total General & Administration",Mar,Quarter1,"Leased Equipment","Operating Expenses",2016,"7,492","$7,492","$7,492",$0,"8,850","$8,850","$8,850",,,,,1
"Total General & Administration",Mar,Quarter1,"Legal Settlement","Operating Expenses",2016,0,$0,$0,$0,0,$0,$0,,,,,1
"Total General & Administration",Mar,Quarter1,"Office Expenses/Supplies","Operating Expenses",2016,"21,773","$21,773","$21,773",$0,"18,000","$18,000","$18,000",,,,,1
"Total General & Administration",Mar,Quarter1,"Outside Services","Operating Expenses",2016,"61,706","$61,706","$61,706",$0,"45,000","$45,000","$45,000",,,,,1
"Total General & Administration",Mar,Quarter1,"Repairs & Maintenance Equipment","Operating Expenses",2016,"3,151","$3,151","$3,151",$0,"1,250","$1,250","$1,250",,,,,1
"Total General & Administration",Mar,Quarter1,"Software Support","Operating Expenses",2016,"38,890","$38,890","$38,890",$0,"29,000","$29,000","$29,000",,,,,1
"Total General & Administration",Mar,Quarter1,"Training and Development","Operating Expenses",2016,"2,635","$2,635","$2,635",$0,0,$0,$0,,,,,1
"Total Labor",Mar,Quarter1,Bonus,"Operating Expenses",2016,"19,657","$19,657","$19,657",$0,"15,000","$15,000","$15,000",,,,,1
"Total Labor",Mar,Quarter1,Commissions,"Operating Expenses",2016,"67,589","$67,589","$67,589",$0,"65,637","$65,637","$65,637",,,,,1
"Total Labor",Mar,Quarter1,"Contract & Temporary Labor","Operating Expenses",2016,"25,655","$25,655","$25,655",$0,"40,000","$40,000","$40,000",,,,,1
"Total Labor",Mar,Quarter1,"Employee Benefits","Operating Expenses",2016,"73,523","$73,523","$73,523",$0,"1,15,000","$115,000","$115,000",,,,,1
"Total Labor",Mar,Quarter1,"Payroll Tax","Operating Expenses",2016,"62,013","$62,013","$62,013",$0,"62,174","$62,174","$62,174",,,,,1
"Total Labor",Mar,Quarter1,"Salaries & Wages","Operating Expenses",2016,"6,35,015","$635,015","$635,015",$0,"6,56,233","$656,233","$656,233",,,,,1
"Total Occupancy Cost",Mar,Quarter1,"Building Operating Costs","Operating Expenses",2016,"19,124","$19,124","$19,124",$0,"25,699","$25,699","$25,699",,,,,1
"Total Occupancy Cost",Mar,Quarter1,"Rent/Fixed Building Costs","Operating Expenses",2016,"44,780","$44,780","$44,780",$0,"28,000","$28,000","$28,000",,,,,1
"Total Travel/M&E",Mar,Quarter1,"Meals & Entertainment","Operating Expenses",2016,"22,474","$22,474","$22,474",$0,"15,000","$15,000","$15,000",,,,,1
"Total Travel/M&E",Mar,Quarter1,Travel,"Operating Expenses",2016,"26,903","$26,903","$26,903",$0,"38,000","$38,000","$38,000",,,,,1
"Operating Income",Feb,Quarter1,,"Operating Income",2016,"88,330","$88,330","$88,330",$0,"67,560","$67,560","$67,560",,,,,1
"Operating Income",Jan,Quarter1,,"Operating Income",2016,"-63,713","-$63,713","-$63,713",$0,"-42,578","-$42,578","-$42,578",,,,,1
"Operating Income",Mar,Quarter1,,"Operating Income",2016,"2,57,010","$257,010","$257,010",$0,"2,82,952","$282,952","$282,952",,,,,1
"Total Interest",Feb,Quarter1,,"Other Expenses",2016,"39,575","$39,575","$39,575",$0,"35,000","$35,000","$35,000",,,,,1
"Total Taxes",Feb,Quarter1,,"Other Expenses",2016,"1,01,200","$101,200","$101,200",$0,"15,461","$15,461","$15,461",,,,,1
"Unusual Expense/Gain",Feb,Quarter1,,"Other Expenses",2016,"-38,269","-$38,269","-$38,269",$0,"6,500","$6,500","$6,500",,,,,1
"Total Interest",Jan,Quarter1,,"Other Expenses",2016,"35,346","$35,346","$35,346",$0,"35,000","$35,000","$35,000",,,,,1
"Total Taxes",Jan,Quarter1,,"Other Expenses",2016,"15,488","$15,488","$15,488",$0,"-18,686","-$18,686","-$18,686",,,,,1
"Unusual Expense/Gain",Jan,Quarter1,,"Other Expenses",2016,"49,188","$49,188","$49,188",$0,"6,500","$6,500","$6,500",,,,,1
"Total Interest",Mar,Quarter1,,"Other Expenses",2016,"39,644","$39,644","$39,644",$0,"20,000","$20,000","$20,000",,,,,1
"Total Taxes",Mar,Quarter1,,"Other Expenses",2016,"55,900","$55,900","$55,900",$0,"93,794","$93,794","$93,794",,,,,1
"Unusual Expense/Gain",Mar,Quarter1,,"Other Expenses",2016,"-42,058","-$42,058","-$42,058",$0,"6,500","$6,500","$6,500",,,,,1
"Other Revenue",Feb,Quarter1,,Revenue,2016,"-73,827","-$73,827","-$73,827",$0,0,$0,$0,,,"-73,827",0,1
"Transportation - Domestic",Feb,Quarter1,,Revenue,2016,"26,21,506","$2,621,506","$2,621,506",$0,"35,87,000","$3,587,000","$3,587,000",,,"26,21,506","35,87,000",1
"Transportation - International",Feb,Quarter1,,Revenue,2016,"18,09,896","$1,809,896","$1,809,896",$0,"12,75,000","$1,275,000","$1,275,000",,,"18,09,896","12,75,000",1
Warehouse,Feb,Quarter1,,Revenue,2016,"2,98,453","$298,453","$298,453",$0,"3,10,000","$310,000","$310,000",,,"2,98,453","3,10,000",1
"Other Revenue",Jan,Quarter1,,Revenue,2016,"-80,576","-$80,576","-$80,576",$0,0,$0,$0,,,"-80,576",0,1
"Transportation - Domestic",Jan,Quarter1,,Revenue,2016,"25,55,513","$2,555,513","$2,555,513",$0,"35,87,000","$3,587,000","$3,587,000",,,"25,55,513","35,87,000",1
"Transportation - International",Jan,Quarter1,,Revenue,2016,"18,52,173","$1,852,173","$1,852,173",$0,"12,75,000","$1,275,000","$1,275,000",,,"18,52,173","12,75,000",1
Warehouse,Jan,Quarter1,,Revenue,2016,"3,06,672","$306,672","$306,672",$0,"3,10,000","$310,000","$310,000",,,"3,06,672","3,10,000",1
"Other Revenue",Mar,Quarter1,,Revenue,2016,"-1,03,181","-$103,181","-$103,181",$0,0,$0,$0,,,"-1,03,181",0,1
"Transportation - Domestic",Mar,Quarter1,,Revenue,2016,"33,69,648","$3,369,648","$3,369,648",$0,"42,82,000","$4,282,000","$4,282,000",,,"33,69,648","42,82,000",1
